entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,browser,operating_system,login_result,risk_score,attack_type,label,hour,day,weekday,is_weekend_flag,month,is_office_hours,is_weekend,is_sensitive_resource,long_session,failed_login,new_device,resource_frequency,hour_sin,hour_cos,session_duration_normalized,prediction,risk_level,explanation
user_0035,2,2026-06-21 17:52:23.000000,10.160.122.21,7,4,3,475,4,f07218bf-f0f3-4a94-867d-66f667504c9e,4,5,1,10,Normal,0,17,21,6,1,6,1,1,0,0,0,0,0.28823529411764703,-0.9659258262890683,-0.25881904510252063,0.08444022770398482,0,Low,Weekend login
dev_0001,0,2026-06-07 20:16:49.000000,192.168.209.204,3,5,4,874,1,8d2265ae-0867-47b8-acc9-0fe02613db70,2,2,1,25,Normal,0,20,7,6,1,6,0,1,0,0,0,0,0.36416184971098264,-0.8660254037844386,0.5000000000000001,0.1601518026565465,0,Medium,"Off-hour login, Weekend login"
dev_0005,0,2026-05-12 18:28:05.000000,10.101.75.12,1,8,4,707,9,be7bf241-aa02-4309-8860-ce04620838c8,0,4,1,20,Normal,0,18,12,1,0,5,1,0,1,0,0,0,0.31724137931034485,-1.0,-1.8369701987210297e-16,0.12846299810246678,0,Low,Sensitive resource
user_0001,2,2026-06-08 13:59:57.000000,192.168.57.92,6,2,3,890,2,37d4a96c-874f-407e-ac71-59c3c745b2da,2,2,1,0,Normal,0,13,8,0,0,6,1,0,0,0,0,0,0.32786885245901637,-0.2588190451025208,-0.9659258262890683,0.16318785578747627,0,Low,No risk indicators
user_0016,2,2026-06-06 15:20:29.000000,10.232.1.131,3,7,3,918,6,341504dd-8221-44e1-a3e3-4a467f4260aa,2,0,1,30,Normal,0,15,6,5,1,6,1,1,1,0,0,0,0.34104046242774566,-0.7071067811865471,-0.7071067811865479,0.1685009487666034,0,Medium,"Weekend login, Sensitive resource"
user_0022,2,2026-06-22 13:38:59.000000,10.115.32.93,3,7,0,695,6,a31b62cd-24cf-4f72-9697-644e42c0690c,2,0,1,20,Normal,0,13,22,0,0,6,1,0,1,0,0,0,0.3032258064516129,-0.2588190451025208,-0.9659258262890683,0.12618595825426945,0,Low,Sensitive resource
user_0025,2,2026-05-02 10:37:47.000000,172.22.48.245,2,4,4,738,4,e7ed4954-eb4d-4d0f-944d-6bf6600bc757,4,3,1,10,Normal,0,10,2,5,1,5,1,1,0,0,0,0,0.24705882352941178,0.49999999999999994,-0.8660254037844387,0.13434535104364326,0,Low,Weekend login
svc_0002,1,2026-06-13 03:29:24.000000,192.168.75.155,7,0,2,532,0,6dc430cf-d03e-4a9a-8eef-11613a2611d2,3,4,1,25,Normal,0,3,13,5,1,6,0,1,0,0,0,0,0.31333333333333335,0.7071067811865476,0.7071067811865476,0.0952561669829222,0,Medium,"Off-hour login, Weekend login"
user_0035,2,2026-06-22 16:24:13.000000,10.160.122.143,7,10,3,821,11,f07218bf-f0f3-4a94-867d-66f667504c9e,4,5,1,0,Normal,0,16,22,0,0,6,1,0,0,0,0,0,0.31176470588235294,-0.8660254037844385,-0.5000000000000004,0.15009487666034155,0,Low,No risk indicators
user_0036,2,2026-05-01 02:05:27.737940,10.234.51.135,3,7,2,3387,6,9f7b0e49-3dc8-4763-9238-7a6e4d9eb10c,3,2,1,70,Low and Slow Exfiltration,1,2,1,4,0,5,0,0,1,1,0,0,0.023529411764705882,0.49999999999999994,0.8660254037844387,0.6370018975332068,1,High,"Off-hour login, Sensitive resource, Long session, Isolation Forest anomaly"
