entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,browser,operating_system,login_result,risk_score,attack_type,label
user_0035,user,2026-06-21 17:52:23.000000,10.160.122.21,Singapore,HR,password,475,login>hr,f07218bf-f0f3-4a94-867d-66f667504c9e,Safari,macOS,success,7,Normal,0
dev_0001,edge_device,2026-06-07 20:16:49.000000,192.168.209.204,France,IoT Gateway,token,874,login>cloud>iot,8d2265ae-0867-47b8-acc9-0fe02613db70,Edge,Linux,success,20,Normal,0
dev_0005,edge_device,2026-05-12 18:28:05.000000,10.101.75.12,Brazil,Production Server,token,707,login>server,be7bf241-aa02-4309-8860-ce04620838c8,API,Windows,success,12,Normal,0
user_0001,user,2026-06-08 13:59:57.000000,192.168.57.92,Japan,Email,password,890,login>email,37d4a96c-874f-407e-ac71-59c3c745b2da,Edge,Linux,success,29,Normal,0
user_0016,user,2026-06-06 15:20:29.000000,10.232.1.131,France,Payroll,password,918,login>payroll,341504dd-8221-44e1-a3e3-4a467f4260aa,Edge,Android,success,10,Normal,0
user_0022,user,2026-06-22 13:38:59.000000,10.115.32.93,France,Payroll,MFA,695,login>payroll,a31b62cd-24cf-4f72-9697-644e42c0690c,Edge,Android,success,10,Normal,0
user_0025,user,2026-05-02 10:37:47.000000,172.22.48.245,Canada,HR,token,738,login>hr,e7ed4954-eb4d-4d0f-944d-6bf6600bc757,Safari,Ubuntu,success,23,Normal,0
svc_0002,service_account,2026-06-13 03:29:24.000000,192.168.75.155,Singapore,Cloud Dashboard,certificate,532,login>cloud,6dc430cf-d03e-4a9a-8eef-11613a2611d2,Firefox,Windows,success,22,Normal,0
user_0035,user,2026-06-22 16:24:13.000000,10.160.122.143,Singapore,VPN,password,821,login>vpn,f07218bf-f0f3-4a94-867d-66f667504c9e,Safari,macOS,success,10,Normal,0
user_0036,user,2026-05-01 02:05:27.737940,10.234.51.135,France,Payroll,certificate,3387,login>payroll,9f7b0e49-3dc8-4763-9238-7a6e4d9eb10c,Firefox,Linux,success,70,Low and Slow Exfiltration,1
user_0039,user,2026-05-21 18:04:31.000000,172.22.175.151,France,Payroll,password,903,login>payroll,6c64bc02-2d28-4114-950a-49fae1541646,Safari,macOS,fail,24,Normal,0
